180 8055 
1 172 7
1 145 3
1 47 9
1 28 10
1 106 5
1 40 9
1 17 3
1 159 10
1 13 7
1 80 3
1 92 2
1 23 6
1 52 1
1 5 1
1 125 7
1 2 6
1 31 1
1 117 6
1 42 8
1 11 8
1 89 9
1 96 1
1 21 3
1 87 2
1 3 9
1 59 4
1 35 5
1 131 4
1 55 4
1 26 4
1 120 8
1 63 4
1 12 3
1 46 9
1 22 2
1 169 5
1 84 4
1 66 2
1 83 7
1 168 3
1 149 1
1 72 5
1 50 2
1 49 4
1 129 10
1 94 7
1 161 2
1 90 6
1 158 6
1 44 10
1 71 6
1 122 2
1 107 5
1 142 8
1 36 2
1 139 9
1 156 10
1 102 1
1 25 8
1 128 4
1 60 9
1 134 5
1 32 3
1 65 7
1 178 3
1 115 10
1 95 6
1 34 8
1 85 2
1 160 2
1 154 10
1 8 5
1 48 5
1 62 2
1 121 5
1 97 2
1 173 1
1 38 9
1 81 9
1 101 9
1 79 2
1 98 7
2 107 1
2 5 10
2 91 9
2 175 7
2 121 6
2 130 9
2 140 1
2 153 3
2 32 9
2 9 4
2 173 10
2 77 6
2 21 7
2 163 7
2 111 2
2 55 5
2 109 2
2 76 8
2 85 9
2 84 5
2 146 4
2 165 9
2 61 3
2 80 9
2 143 4
2 59 5
2 179 4
2 68 5
2 6 3
2 168 8
2 105 7
2 103 8
2 180 9
2 66 6
2 45 8
2 62 4
2 169 8
2 120 5
2 79 5
2 40 1
2 151 3
2 15 7
2 96 9
2 166 10
2 116 1
2 137 1
2 44 3
2 73 1
2 90 6
2 63 4
2 37 2
2 64 8
2 60 5
2 14 3
2 147 5
2 12 1
2 26 6
2 112 4
2 138 6
2 136 8
2 159 10
2 20 9
2 139 4
2 8 4
2 117 4
2 50 4
2 46 2
2 24 9
2 38 3
2 157 3
2 74 8
2 47 5
2 131 5
2 148 8
2 174 6
2 160 10
2 39 5
2 144 10
2 145 3
2 18 1
2 101 3
2 58 6
2 43 7
2 11 3
2 23 1
2 108 5
2 29 3
2 167 3
